,ward,wardcode,totalhouseholds,broom1,broom1p,broom2,broom2p,broom3,broom3p,broom4,broom4p,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p,car0,car0p,car1,car1p,car2,car2p,car3,car3p,nodis,nodisp,onedis,onedisp,twodis,twodisp,heat0,heat0p,heat1,heat1p,heatnore2,heatnore2p,heatrenew2,heatrenew2p,own,ownp,shareo,shareop,socrent,socrentp,prirent,prirentp,rentfree,rentfreep,tr2,tr2p,tr25,tr25p,tr510,tr510p,tr1020,tr1020p,tr2030,tr2030p,tr3040,tr3040p,tr4060,tr4060p,tr60,tr60p,ptime,ptimep,par15,par15p,par1630,par1630p,ftime,ftimep,f3148,f3148p,f49,f49p
44,Roby,E05010942,"3,918",95,2.4,386,9.8,"2,385",60.9,"1,053",26.9,"2,142",54.7,"1,227",31.3,501,12.8,44,1.1,4,0.1,633,16.2,"1,619",41.4,"1,315",33.6,348,8.9,"2,621",66.9,970,24.8,327,8.3,23,0.6,26,0.7,244,6.2,9,0.2,"3,379",86.2,29,0.7,213,5.4,295,7.5,2,0.1,282,6.0,553,11.7,"1,173",24.9,412,8.7,90,1.9,44,0.9,65,1.4,53,1.1,"1,208",25.6,340,7.2,868,18.4,"3,507",74.4,"3,075",65.2,432,9.2
45,Shevington,E05010943,"4,546",105,2.3,729,16.0,"3,008",66.2,704,15.5,"1,735",38.2,"1,752",38.5,909,20.0,134,2.9,16,0.4,"1,092",24.0,"2,030",44.7,"1,177",25.9,247,5.4,"2,862",63.0,"1,205",26.5,479,10.5,62,1.4,59,1.3,325,7.1,49,1.1,"2,769",60.9,27,0.6,920,20.2,816,18.0,13,0.3,288,5.2,999,18.2,739,13.4,"1,069",19.4,126,2.3,67,1.2,54,1.0,65,1.2,"1,503",27.3,406,7.4,"1,097",19.9,"4,000",72.7,"3,588",65.2,412,7.5
46,St Gabriels,E05010944,"4,148",233,5.6,"1,019",24.6,"2,260",54.5,635,15.3,"1,549",37.4,"1,488",35.9,991,23.9,107,2.6,12,0.3,"1,249",30.1,"1,734",41.8,914,22.0,250,6.0,"2,484",59.9,"1,252",30.2,411,9.9,72,1.7,55,1.3,283,6.8,17,0.4,"2,494",60.2,27,0.7,"1,002",24.2,616,14.9,6,0.1,435,10.2,497,11.6,924,21.6,579,13.5,57,1.3,42,1.0,29,0.7,41,1.0,"1,277",29.8,362,8.4,915,21.3,"3,010",70.2,"2,720",63.4,290,6.8
47,St Michaels (Knowsley),E05010945,"4,000",429,10.7,507,12.7,"2,628",65.7,438,10.9,"1,445",36.1,"1,315",32.9,"1,099",27.5,128,3.2,13,0.3,"1,562",39.1,"1,530",38.2,708,17.7,200,5.0,"2,167",54.2,"1,441",36.0,392,9.8,63,1.6,55,1.4,317,7.9,8,0.2,"2,061",51.5,39,1.0,"1,420",35.5,473,11.8,9,0.2,475,12.2,514,13.2,977,25.0,409,10.5,57,1.5,33,0.8,36,0.9,48,1.2,"1,220",31.2,310,7.9,910,23.3,"2,684",68.8,"2,409",61.7,275,7.0
48,Stockbridge,E05010946,"4,696",288,6.1,"1,361",29.0,"2,568",54.6,482,10.3,"1,334",28.4,"1,904",40.5,"1,303",27.7,144,3.1,11,0.2,"1,951",41.5,"1,868",39.8,728,15.5,149,3.2,"2,581",54.9,"1,615",34.4,501,10.7,67,1.4,141,3.0,334,7.1,16,0.3,"1,844",39.3,60,1.3,"2,188",46.6,602,12.8,4,0.1,325,7.4,858,19.6,"1,122",25.6,391,8.9,70,1.6,30,0.7,32,0.7,48,1.1,"1,384",31.6,375,8.6,"1,009",23.0,"2,995",68.4,"2,669",60.9,326,7.4
49,Swanside,E05010947,"3,864",94,2.4,312,8.1,"2,919",75.5,539,13.9,"1,904",49.3,"1,330",34.4,562,14.5,62,1.6,6,0.2,726,18.8,"1,715",44.4,"1,192",30.8,231,6.0,"2,609",67.5,964,24.9,291,7.5,55,1.4,31,0.8,228,5.9,7,0.2,"3,211",83.1,9,0.2,205,5.3,438,11.3,3,0.1,382,8.1,566,12.0,"1,241",26.2,322,6.8,67,1.4,25,0.5,48,1.0,37,0.8,"1,216",25.7,323,6.8,893,18.9,"3,513",74.3,"3,154",66.7,359,7.6
50,Whiston and Cronton,E05010948,"3,925",264,6.7,943,24.0,"2,267",57.8,451,11.5,"1,396",35.6,"1,473",37.5,933,23.8,108,2.8,15,0.4,"1,009",25.7,"1,706",43.5,944,24.1,264,6.7,"2,292",58.4,"1,240",31.6,394,10.0,51,1.3,49,1.2,279,7.1,10,0.3,"2,585",65.9,18,0.5,810,20.6,507,12.9,5,0.1,539,13.7,400,10.2,739,18.8,652,16.6,62,1.6,47,1.2,17,0.4,35,0.9,"1,175",29.9,319,8.1,856,21.8,"2,758",70.1,"2,498",63.5,260,6.6
51,Whitefield,E05010949,"4,299",407,9.5,945,22.0,"2,242",52.2,704,16.4,"1,485",34.5,"1,553",36.1,"1,141",26.5,110,2.6,10,0.2,"1,688",39.3,"1,663",38.7,731,17.0,216,5.0,"2,372",55.2,"1,485",34.6,441,10.3,76,1.8,77,1.8,309,7.2,17,0.4,"2,417",56.2,75,1.7,"1,164",27.1,638,14.8,6,0.1,351,8.5,888,21.5,523,12.6,672,16.3,78,1.9,32,0.8,32,0.8,45,1.1,"1,248",30.1,335,8.1,913,22.1,"2,892",69.9,"2,608",63.0,284,6.9
52,Allerton and Hunts Cross,E05000886,"6,436",292,4.5,746,11.6,"3,977",61.8,"1,424",22.1,"3,213",49.9,"2,145",33.3,963,15.0,100,1.6,16,0.2,"1,283",19.9,"2,877",44.7,"1,847",28.7,429,6.7,"4,225",65.6,"1,717",26.7,494,7.7,101,1.6,30,0.5,362,5.6,15,0.2,"4,953",77.0,23,0.4,713,11.1,747,11.6,0,0.0,685,9.5,"1,007",14.0,"1,360",18.9,810,11.3,102,1.4,54,0.8,75,1.0,50,0.7,"1,995",27.8,625,8.7,"1,370",19.1,"5,190",72.2,"4,535",63.1,655,9.1
53,Anfield,E05000887,"6,484",653,10.1,"1,596",24.6,"3,577",55.2,656,10.1,"1,952",30.1,"2,402",37.1,"1,854",28.6,239,3.7,36,0.6,"3,224",49.7,"2,478",38.2,672,10.4,110,1.7,"3,876",59.8,"2,019",31.1,589,9.1,184,2.8,103,1.6,523,8.1,8,0.1,"2,582",39.8,19,0.3,"1,589",24.5,"2,279",35.1,15,0.2,590,10.0,"1,856",31.4,763,12.9,365,6.2,108,1.8,20,0.3,42,0.7,44,0.7,"1,922",32.5,598,10.1,"1,324",22.4,"3,990",67.5,"3,614",61.1,376,6.4
54,Belle Vale (Liverpool),E05000888,"6,872",429,6.2,"1,530",22.3,"4,128",60.0,788,11.5,"2,433",35.4,"2,561",37.2,"1,673",24.3,189,2.7,22,0.3,"2,595",37.7,"2,885",42.0,"1,167",17.0,229,3.3,"3,632",52.8,"2,457",35.7,787,11.4,109,1.6,94,1.4,521,7.6,33,0.5,"3,319",48.3,197,2.9,"2,706",39.4,643,9.4,8,0.1,498,8.0,"1,105",17.7,"1,588",25.4,534,8.6,74,1.2,30,0.5,42,0.7,40,0.6,"2,024",32.4,578,9.3,"1,446",23.2,"4,218",67.6,"3,844",61.6,374,6.0
55,Central (Liverpool),E05000889,"7,203","2,452",34.0,"2,874",39.9,"1,070",14.9,807,11.2,878,12.2,"2,430",33.7,"3,594",49.9,265,3.7,38,0.5,"4,538",63.0,"2,179",30.3,390,5.4,96,1.3,"5,561",77.2,"1,374",19.1,268,3.7,295,4.1,135,1.9,394,5.5,7,0.1,"1,253",17.4,35,0.5,"1,095",15.2,"4,817",66.9,3,0.0,"2,084",24.9,800,9.6,950,11.4,551,6.6,239,2.9,78,0.9,242,2.9,325,3.9,"3,307",39.6,"1,899",22.7,"1,408",16.8,"5,052",60.4,"4,423",52.9,629,7.5
56,Childwall,E05000890,"5,170",161,3.1,299,5.8,"3,485",67.4,"1,225",23.7,"2,722",52.6,"1,654",32.0,732,14.2,53,1.0,9,0.2,890,17.2,"2,194",42.4,"1,722",33.3,364,7.0,"3,493",67.6,"1,279",24.7,398,7.7,94,1.8,18,0.3,302,5.8,8,0.2,"4,329",83.7,11,0.2,354,6.8,473,9.1,3,0.1,435,7.0,911,14.6,"1,356",21.7,359,5.7,73,1.2,55,0.9,71,1.1,63,1.0,"1,805",28.8,577,9.2,"1,228",19.6,"4,453",71.2,"3,935",62.9,518,8.3
57,Church (Liverpool),E05000891,"5,664",248,4.4,758,13.4,"2,634",46.5,"2,024",35.7,"3,099",54.7,"1,785",31.5,708,12.5,59,1.0,13,0.2,"1,053",18.6,"2,616",46.2,"1,623",28.7,372,6.6,"3,929",69.4,"1,384",24.4,351,6.2,96,1.7,17,0.3,330,5.8,11,0.2,"4,603",81.2,34,0.6,169,3.0,857,15.1,3,0.1,426,6.4,998,15.1,"1,118",16.9,385,5.8,116,1.8,33,0.5,92,1.4,53,0.8,"1,896",28.7,688,10.4,"1,208",18.3,"4,708",71.3,"4,041",61.2,667,10.1
58,Clubmoor,E05000892,"6,646",354,5.3,540,8.1,"5,436",81.8,316,4.8,"2,495",37.5,"2,285",34.4,"1,613",24.3,219,3.3,34,0.5,"2,685",40.4,"2,741",41.2,982,14.8,238,3.6,"3,488",52.5,"2,341",35.2,817,12.3,117,1.8,115,1.7,467,7.0,8,0.1,"3,125",47.0,28,0.4,"2,661",40.0,827,12.4,7,0.1,540,8.6,"1,872",29.7,"1,033",16.4,465,7.4,82,1.3,18,0.3,66,1.0,48,0.8,"2,039",32.3,509,8.1,"1,530",24.3,"4,264",67.7,"3,919",62.2,345,5.5
59,County,E05000893,"6,350",440,6.9,"2,463",38.8,"2,921",46.0,527,8.3,"1,649",26.0,"2,688",42.3,"1,778",28.0,207,3.3,28,0.4,"3,411",53.7,"2,265",35.7,590,9.3,86,1.4,"3,555",56.0,"2,192",34.5,603,9.5,209,3.3,131,2.1,513,8.1,9,0.1,"2,495",39.3,16,0.3,"1,598",25.2,"2,230",35.1,12,0.2,508,9.4,"1,583",29.2,770,14.2,357,6.6,142,2.6,21,0.4,48,0.9,57,1.1,"1,779",32.8,498,9.2,"1,281",23.6,"3,648",67.2,"3,293",60.7,355,6.5
60,Cressington,E05000894,"6,420",609,9.5,846,13.2,"3,436",53.5,"1,529",23.8,"2,955",46.0,"2,025",31.5,"1,311",20.4,117,1.8,12,0.2,"1,559",24.3,"2,833",44.1,"1,690",26.3,338,5.3,"4,177",65.1,"1,749",27.2,494,7.7,102,1.6,56,0.9,445,6.9,13,0.2,"4,470",69.6,60,0.9,944,14.7,942,14.7,4,0.1,447,6.5,"1,061",15.3,"1,363",19.7,642,9.3,103,1.5,49,0.7,74,1.1,53,0.8,"1,994",28.8,593,8.6,"1,401",20.3,"4,920",71.2,"4,338",62.7,582,8.4
61,Croxteth,E05000895,"5,989",257,4.3,"1,714",28.6,"2,832",47.3,"1,186",19.8,"2,030",33.9,"2,435",40.6,"1,333",22.2,170,2.8,24,0.4,"1,715",28.6,"2,594",43.3,"1,300",21.7,381,6.4,"3,517",58.7,"1,864",31.1,608,10.2,112,1.9,63,1.1,450,7.5,13,0.2,"3,512",58.6,50,0.8,"1,555",26.0,865,14.4,8,0.1,456,7.2,"1,127",17.9,"1,449",23.0,560,8.9,143,2.3,28,0.4,54,0.9,58,0.9,"1,882",29.9,518,8.2,"1,364",21.7,"4,418",70.1,"3,977",63.1,441,7.0
62,Everton (Liverpool),E05000896,"7,821","1,347",17.2,"2,715",34.7,"3,087",39.5,672,8.6,"1,640",21.0,"2,902",37.1,"2,916",37.3,320,4.1,43,0.5,"4,348",55.6,"2,734",35.0,651,8.3,88,1.1,"4,152",53.1,"2,849",36.4,820,10.5,148,1.9,153,2.0,595,7.6,15,0.2,"1,964",25.1,68,0.9,"4,255",54.4,"1,521",19.4,13,0.2,"1,087",18.3,"1,411",23.7,757,12.7,414,7.0,185,3.1,20,0.3,69,1.2,98,1.6,"2,169",36.4,718,12.1,"1,451",24.4,"3,782",63.6,"3,456",58.1,326,5.5
63,Fazakerley,E05000897,"6,851",406,5.9,"1,387",20.2,"4,049",59.1,"1,009",14.7,"2,558",37.3,"2,616",38.2,"1,509",22.0,147,2.1,21,0.3,"2,328",34.0,"2,967",43.3,"1,274",18.6,282,4.1,"4,152",60.6,"2,043",29.8,659,9.6,176,2.6,87,1.3,508,7.4,12,0.2,"4,181",61.0,41,0.6,"1,092",15.9,"1,533",22.4,4,0.1,"1,157",15.3,953,12.6,"1,550",20.5,655,8.7,171,2.3,39,0.5,58,0.8,76,1.0,"2,218",29.3,626,8.3,"1,592",21.0,"5,349",70.7,"4,872",64.4,477,6.3
64,Greenbank,E05000898,"5,659","1,094",19.3,"1,352",23.9,"1,571",27.8,"1,642",29.0,"1,748",30.9,"1,894",33.5,"1,841",32.5,155,2.7,23,0.4,"2,107",37.2,"2,367",41.8,872,15.4,313,5.5,"3,641",64.3,"1,606",28.4,413,7.3,122,2.2,58,1.0,441,7.8,8,0.1,"2,085",36.8,23,0.4,"1,102",19.5,"2,447",43.2,2,0.0,502,8.5,"1,346",22.8,760,12.9,360,6.1,125,2.1,56,0.9,88,1.5,152,2.6,"2,217",37.6,"1,070",18.1,"1,147",19.4,"3,685",62.4,"3,250",55.1,435,7.4
65,Kensington and Fairfield,E05000899,"7,116","1,208",17.0,"2,311",32.5,"2,494",35.0,"1,103",15.5,"1,608",22.6,"2,418",34.0,"2,579",36.2,421,5.9,89,1.3,"4,084",57.4,"2,257",31.7,631,8.9,144,2.0,"4,345",61.1,"2,197",30.9,574,8.1,238,3.3,165,2.3,674,9.5,12,0.2,"1,831",25.7,38,0.5,"2,088",29.4,"3,139",44.1,18,0.3,926,15.1,"1,463",23.9,909,14.8,400,6.5,169,2.8,23,0.4,76,1.2,104,1.7,"2,361",38.5,862,14.1,"1,499",24.5,"3,764",61.5,"3,389",55.3,375,6.1
66,Kirkdale,E05000900,"8,604","1,298",15.1,"3,376",39.2,"3,313",38.5,616,7.2,"1,751",20.4,"3,496",40.6,"3,016",35.1,290,3.4,50,0.6,"4,610",53.6,"3,190",37.1,685,8.0,118,1.4,"5,054",58.7,"2,796",32.5,753,8.8,237,2.8,154,1.8,630,7.3,13,0.2,"2,373",27.6,59,0.7,"3,630",42.2,"2,527",29.4,14,0.2,"1,087",14.5,"1,689",22.5,"1,014",13.5,567,7.6,223,3.0,31,0.4,107,1.4,77,1.0,"2,421",32.3,804,10.7,"1,617",21.6,"5,070",67.7,"4,528",60.4,542,7.2
67,Knotty Ash,E05000901,"6,150",496,8.1,759,12.3,"4,047",65.8,849,13.8,"2,547",41.4,"2,056",33.4,"1,367",22.2,135,2.2,45,0.7,"2,156",35.1,"2,436",39.6,"1,254",20.4,304,4.9,"3,656",59.4,"1,929",31.4,565,9.2,113,1.8,76,1.2,431,7.0,9,0.1,"3,575",58.1,33,0.5,"1,630",26.5,908,14.8,4,0.1,685,11.1,877,14.2,"1,507",24.3,318,5.1,88,1.4,40,0.6,67,1.1,46,0.7,"1,870",30.2,541,8.7,"1,329",21.5,"4,319",69.8,"3,881",62.7,438,7.1
68,Mossley Hill,E05000902,"5,299",366,6.9,"1,135",21.4,"2,443",46.1,"1,354",25.6,"2,426",45.8,"1,883",35.5,920,17.4,53,1.0,16,0.3,"1,064",20.1,"2,531",47.8,"1,416",26.7,283,5.3,"3,596",67.9,"1,368",25.8,333,6.3,105,2.0,34,0.6,316,6.0,11,0.2,"3,973",75.0,14,0.3,509,9.6,802,15.1,0,0.0,283,4.9,908,15.6,962,16.5,484,8.3,119,2.0,25,0.4,64,1.1,46,0.8,"1,535",26.4,480,8.2,"1,055",18.1,"4,289",73.6,"3,695",63.4,594,10.2
69,Norris Green,E05000903,"7,880",347,4.4,"1,406",17.8,"5,710",72.5,417,5.3,"2,444",31.0,"2,822",35.8,"2,262",28.7,301,3.8,51,0.6,"3,007",38.2,"3,379",42.9,"1,286",16.3,208,2.6,"4,417",56.1,"2,543",32.3,920,11.7,97,1.2,136,1.7,597,7.6,23,0.3,"3,084",39.1,16,0.2,"3,616",45.9,"1,153",14.6,10,0.1,894,11.2,"1,800",22.6,"1,638",20.6,650,8.2,126,1.6,37,0.5,58,0.7,89,1.1,"2,667",33.5,723,9.1,"1,944",24.4,"5,294",66.5,"4,798",60.3,496,6.2
70,Old Swan,E05000904,"7,095",660,9.3,"1,846",26.0,"4,112",58.0,475,6.7,"2,222",31.3,"2,750",38.8,"1,870",26.4,225,3.2,29,0.4,"3,108",43.8,"2,936",41.4,873,12.3,179,2.5,"4,137",58.3,"2,285",32.2,673,9.5,217,3.1,91,1.3,528,7.4,5,0.1,"3,591",50.6,23,0.3,"1,382",19.5,"2,088",29.4,11,0.2,993,14.5,"1,390",20.3,"1,314",19.2,317,4.6,122,1.8,20,0.3,75,1.1,47,0.7,"2,161",31.6,587,8.6,"1,574",23.0,"4,670",68.4,"4,242",62.1,428,6.3
71,Picton,E05000905,"7,436",980,13.2,"2,952",39.7,"2,216",29.8,"1,288",17.3,"1,528",20.5,"2,718",36.6,"2,636",35.4,445,6.0,109,1.5,"3,906",52.5,"2,641",35.5,672,9.0,216,2.9,"4,575",61.5,"2,284",30.7,576,7.7,233,3.1,189,2.5,685,9.2,8,0.1,"1,934",26.0,41,0.6,"2,437",32.8,"2,995",40.3,27,0.4,959,15.4,"1,482",23.8,809,13.0,360,5.8,82,1.3,38,0.6,95,1.5,137,2.2,"2,647",42.5,"1,079",17.3,"1,568",25.2,"3,578",57.5,"3,175",51.0,403,6.5
72,Princes Park (Liverpool),E05000906,"8,244","2,356",28.6,"3,147",38.2,"2,076",25.2,665,8.1,"1,006",12.2,"2,598",31.5,"4,003",48.5,512,6.2,128,1.6,"4,666",56.6,"2,896",35.1,559,6.8,121,1.5,"5,005",60.7,"2,674",32.4,565,6.9,216,2.6,231,2.8,711,8.6,9,0.1,"1,199",14.5,97,1.2,"4,602",55.8,"2,329",28.3,16,0.2,"1,186",18.0,"1,107",16.8,821,12.5,286,4.3,152,2.3,15,0.2,84,1.3,85,1.3,"2,436",37.0,945,14.3,"1,491",22.6,"4,150",63.0,"3,680",55.9,470,7.1
73,Riverside (Liverpool),E05000907,"11,422","2,890",25.3,"5,335",46.7,"2,602",22.8,595,5.2,"1,456",12.7,"4,551",39.8,"4,978",43.6,381,3.3,56,0.5,"5,938",52.0,"4,390",38.4,982,8.6,112,1.0,"7,942",69.5,"2,867",25.1,613,5.4,337,3.0,162,1.4,746,6.5,18,0.2,"2,531",22.2,120,1.1,"3,256",28.5,"5,492",48.1,24,0.2,"2,291",19.7,"1,678",14.4,"1,641",14.1,719,6.2,312,2.7,48,0.4,153,1.3,136,1.2,"3,248",28.0,"1,226",10.6,"2,022",17.4,"8,370",72.0,"7,352",63.3,"1,018",8.8
74,Speke-Garston,E05000909,"9,347",816,8.7,"2,500",26.7,"5,276",56.4,755,8.1,"2,729",29.2,"3,435",36.7,"2,819",30.2,325,3.5,39,0.4,"3,972",42.5,"3,961",42.4,"1,241",13.3,173,1.9,"5,322",56.9,"3,045",32.6,980,10.5,173,1.9,145,1.6,748,8.0,34,0.4,"3,625",38.8,55,0.6,"4,003",42.8,"1,658",17.7,6,0.1,"1,642",18.3,"1,291",14.4,"1,379",15.4,"1,386",15.4,135,1.5,52,0.6,69,0.8,86,1.0,"2,768",30.8,837,9.3,"1,931",21.5,"6,212",69.2,"5,695",63.4,517,5.8
75,St Michael's (Liverpool),E05000908,"6,281","1,476",23.5,"1,893",30.1,"1,956",31.1,956,15.2,"1,820",29.0,"2,210",35.2,"2,136",34.0,101,1.6,14,0.2,"2,303",36.7,"2,885",45.9,925,14.7,167,2.7,"4,286",68.2,"1,679",26.7,315,5.0,141,2.2,38,0.6,443,7.0,11,0.2,"2,909",46.3,67,1.1,"1,179",18.8,"2,126",33.8,0,0.0,340,5.0,"1,344",19.8,933,13.8,446,6.6,150,2.2,13,0.2,87,1.3,49,0.7,"1,712",25.3,592,8.7,"1,120",16.5,"5,068",74.7,"4,462",65.8,606,8.9
76,Tuebrook and Stoneycroft,E05000910,"7,037",824,11.7,"1,754",24.9,"3,507",49.8,954,13.6,"2,277",32.4,"2,419",34.4,"2,033",28.9,257,3.7,51,0.7,"3,248",46.2,"2,678",38.1,921,13.1,190,2.7,"4,149",59.0,"2,292",32.6,596,8.5,255,3.6,134,1.9,633,9.0,11,0.2,"3,092",43.9,26,0.4,"1,250",17.8,"2,651",37.7,17,0.2,542,8.1,"1,996",29.7,958,14.3,410,6.1,145,2.2,26,0.4,87,1.3,64,1.0,"2,084",31.1,607,9.0,"1,477",22.0,"4,626",68.9,"4,190",62.4,436,6.5
77,Warbreck (Liverpool),E05000911,"6,531",622,9.5,"1,176",18.0,"3,722",57.0,"1,011",15.5,"2,542",38.9,"2,306",35.3,"1,535",23.5,130,2.0,19,0.3,"2,255",34.5,"2,861",43.8,"1,174",18.0,241,3.7,"4,038",61.8,"1,881",28.8,612,9.4,180,2.8,61,0.9,433,6.6,4,0.1,"3,869",59.2,77,1.2,952,14.6,"1,629",24.9,4,0.1,782,11.0,"1,256",17.7,"1,393",19.6,552,7.8,144,2.0,28,0.4,73,1.0,51,0.7,"2,056",28.9,598,8.4,"1,458",20.5,"5,052",71.1,"4,548",64.0,504,7.1
78,Wavertree,E05000912,"6,303",454,7.2,"1,503",23.8,"3,224",51.2,"1,122",17.8,"2,502",39.7,"2,312",36.7,"1,350",21.4,126,2.0,13,0.2,"1,975",31.3,"2,829",44.9,"1,218",19.3,281,4.5,"4,087",64.8,"1,762",28.0,454,7.2,139,2.2,52,0.8,437,6.9,12,0.2,"3,801",60.3,41,0.7,937,14.9,"1,522",24.1,2,0.0,689,10.1,"1,369",20.0,"1,063",15.5,380,5.6,116,1.7,36,0.5,86,1.3,59,0.9,"1,970",28.8,649,9.5,"1,321",19.3,"4,868",71.2,"4,322",63.2,546,8.0
79,West Derby,E05000913,"5,962",314,5.3,846,14.2,"3,658",61.3,"1,146",19.2,"2,781",46.6,"1,997",33.5,"1,081",18.1,81,1.4,22,0.4,"1,390",23.3,"2,647",44.4,"1,532",25.7,394,6.6,"3,762",63.1,"1,703",28.6,497,8.3,95,1.6,33,0.6,400,6.7,16,0.3,"4,467",74.9,22,0.4,675,11.3,799,13.4,0,0.0,514,7.8,"1,166",17.7,"1,367",20.7,428,6.5,116,1.8,29,0.4,59,0.9,74,1.1,"1,957",29.7,557,8.4,"1,400",21.2,"4,640",70.3,"4,088",62.0,552,8.4
80,Woolton,E05000914,"6,148",632,10.3,"1,413",23.0,"2,229",36.3,"1,874",30.5,"2,929",47.6,"2,052",33.4,"1,106",18.0,50,0.8,11,0.2,"1,327",21.6,"2,582",42.0,"1,815",29.5,424,6.9,"4,040",65.7,"1,729",28.1,380,6.2,77,1.3,33,0.5,382,6.2,12,0.2,"4,554",74.0,29,0.5,766,12.5,799,13.0,2,0.0,218,3.8,939,16.4,"1,147",20.0,469,8.2,63,1.1,45,0.8,46,0.8,51,0.9,"1,549",27.0,544,9.5,"1,005",17.5,"4,191",73.0,"3,531",61.5,660,11.5
81,Yew Tree,E05000915,"7,070",482,6.8,"1,506",21.3,"4,053",57.3,"1,029",14.6,"2,399",33.9,"2,730",38.6,"1,715",24.3,194,2.7,33,0.5,"2,398",33.9,"2,964",41.9,"1,351",19.1,358,5.1,"4,164",58.9,"2,220",31.4,686,9.7,105,1.5,102,1.4,562,8.0,19,0.3,"3,760",53.2,17,0.2,"2,017",28.5,"1,269",17.9,7,0.1,576,8.0,"1,177",16.3,"2,029",28.1,504,7.0,98,1.4,42,0.6,67,0.9,69,1.0,"2,236",31.0,595,8.2,"1,641",22.7,"4,981",69.0,"4,403",61.0,578,8.0
82,Ancoats & Beswick,E05011350,"7,466","2,023",27.1,"3,606",48.3,"1,549",20.7,288,3.9,696,9.3,"2,657",35.6,"3,804",51.0,277,3.7,32,0.4,"3,540",47.4,"3,209",43.0,644,8.6,71,1.0,"5,709",76.5,"1,446",19.4,312,4.2,269,3.6,90,1.2,372,5.0,35,0.5,"1,899",25.4,65,0.9,"1,675",22.4,"3,825",51.2,5,0.1,"1,302",13.6,"1,148",12.0,759,7.9,633,6.6,101,1.1,108,1.1,117,1.2,82,0.9,"1,667",17.5,604,6.3,"1,063",11.1,"7,883",82.5,"7,005",73.4,878,9.2
83,Ardwick,E05011351,"6,738","1,555",23.1,"2,031",30.1,"2,086",31.0,"1,066",15.8,"1,028",15.3,"1,805",26.8,"3,116",46.2,627,9.3,162,2.4,"3,397",50.4,"2,624",38.9,585,8.7,132,2.0,"4,434",65.8,"1,842",27.3,463,6.9,178,2.6,199,3.0,633,9.4,75,1.1,"1,378",20.5,20,0.3,"3,101",46.0,"2,219",32.9,19,0.3,"1,564",23.0,"1,148",16.9,740,10.9,527,7.8,115,1.7,61,0.9,95,1.4,153,2.3,"2,746",40.5,"1,124",16.6,"1,622",23.9,"4,040",59.5,"3,683",54.3,357,5.3
84,Baguley,E05011352,"6,744",765,11.3,"1,744",25.9,"3,779",56.0,456,6.8,"1,682",24.9,"2,582",38.3,"2,135",31.7,278,4.1,67,1.0,"2,271",33.7,"3,015",44.7,"1,190",17.6,268,4.0,"4,027",59.7,"2,101",31.2,616,9.1,85,1.3,85,1.3,640,9.5,29,0.4,"2,683",39.8,115,1.7,"2,997",44.4,939,13.9,10,0.1,"1,410",19.8,"1,258",17.6,"1,132",15.9,589,8.3,108,1.5,27,0.4,50,0.7,72,1.0,"2,101",29.5,614,8.6,"1,487",20.8,"5,032",70.5,"4,564",64.0,468,6.6
85,Brooklands (Manchester),E05011353,"6,795",619,9.1,"2,150",31.6,"3,404",50.1,626,9.2,"2,046",30.1,"2,584",38.0,"1,871",27.5,267,3.9,27,0.4,"1,919",28.2,"3,200",47.1,"1,378",20.3,298,4.4,"4,285",63.0,"1,951",28.7,561,8.3,104,1.5,79,1.2,526,7.7,14,0.2,"3,425",50.4,41,0.6,"2,278",33.5,"1,039",15.3,12,0.2,589,8.5,"1,425",20.7,"1,233",17.9,449,6.5,103,1.5,37,0.5,50,0.7,50,0.7,"1,980",28.7,610,8.8,"1,370",19.9,"4,919",71.3,"4,424",64.1,495,7.2
86,Burnage,E05011354,"6,522",375,5.7,"1,030",15.8,"4,319",66.2,798,12.2,"1,935",29.7,"2,059",31.6,"1,960",30.1,465,7.1,103,1.6,"1,826",28.0,"3,027",46.4,"1,268",19.4,401,6.1,"3,868",59.3,"1,970",30.2,685,10.5,94,1.4,91,1.4,568,8.7,44,0.7,"3,301",50.6,78,1.2,"2,147",32.9,986,15.1,10,0.2,790,10.7,"1,304",17.6,"1,220",16.5,432,5.8,89,1.2,44,0.6,56,0.8,99,1.3,"2,681",36.2,872,11.8,"1,809",24.4,"4,725",63.8,"4,289",57.9,436,5.9
87,Charlestown,E05011355,"7,030",720,10.2,"1,593",22.7,"4,137",58.9,578,8.2,"1,906",27.1,"2,419",34.4,"2,261",32.2,380,5.4,64,0.9,"2,494",35.5,"3,079",43.8,"1,223",17.4,234,3.3,"4,338",61.7,"2,060",29.3,632,9.0,126,1.8,122,1.7,650,9.2,48,0.7,"2,934",41.7,49,0.7,"2,907",41.4,"1,103",15.7,37,0.5,621,8.7,"1,174",16.5,"1,630",22.9,779,10.9,78,1.1,88,1.2,64,0.9,97,1.4,"2,180",30.6,568,8.0,"1,612",22.6,"4,945",69.4,"4,472",62.8,473,6.6
