ward,wardcode,car0,car0p,car1,car1p,car2,car2p,car3,car3p
Denton South,E05000805,"1,492",29.2,"2,272",44.4,"1,067",20.9,282,5.5
Denton West,E05000806,895,17.7,"2,300",45.6,"1,466",29.1,384,7.6
Droylsden East,E05000807,"1,484",27.7,"2,328",43.4,"1,226",22.9,324,6.0
Droylsden West,E05000808,"1,227",25.6,"2,203",45.9,"1,089",22.7,277,5.8
Dukinfield,E05000809,"1,583",28.6,"2,417",43.7,"1,204",21.8,331,6.0
Dukinfield Stalybridge,E05000810,"1,283",24.8,"2,245",43.4,"1,264",24.4,379,7.3
Hyde Godley,E05000811,"1,554",28.5,"2,275",41.7,"1,276",23.4,352,6.5
Hyde Newton,E05000812,"1,579",24.2,"2,874",44.0,"1,652",25.3,429,6.6
Hyde Werneth,E05000813,924,19.4,"2,050",42.9,"1,399",29.3,401,8.4
Longdendale,E05000814,"1,128",24.2,"2,056",44.1,"1,148",24.6,330,7.1
Mossley,E05000815,"1,056",20.4,"2,350",45.4,"1,420",27.5,346,6.7
St Peter's (Tameside),E05000816,"2,756",44.3,"2,492",40.1,804,12.9,164,2.6
Stalybridge North,E05000817,"1,580",28.5,"2,250",40.6,"1,299",23.5,407,7.4
Stalybridge South,E05000818,773,16.2,"1,983",41.7,"1,521",32.0,483,10.1
Altrincham,E05000819,"1,038",18.5,"2,727",48.6,"1,556",27.8,285,5.1
Ashton upon Mersey,E05000820,750,17.3,"1,958",45.2,"1,323",30.6,297,6.9
Bowdon,E05000821,449,12.0,"1,375",36.8,"1,426",38.1,489,13.1
Broadheath (Trafford),E05000822,746,13.4,"2,467",44.3,"1,967",35.3,392,7.0
Brooklands (Trafford),E05000823,534,12.7,"1,845",43.9,"1,474",35.1,351,8.3
Bucklow-St Martins,E05000824,"1,100",26.3,"1,864",44.6,963,23.0,257,6.1
Clifford,E05000825,"2,030",39.0,"2,193",42.1,771,14.8,213,4.1
Davyhulme East,E05000826,629,15.8,"1,808",45.4,"1,215",30.5,333,8.4
Davyhulme West,E05000827,534,13.0,"1,661",40.4,"1,436",34.9,478,11.6
Flixton,E05000828,709,15.4,"1,917",41.6,"1,561",33.9,417,9.1
Gorse Hill (Trafford),E05000829,"1,303",25.7,"2,426",47.9,"1,080",21.3,256,5.1
Hale Barns,E05000830,376,9.8,"1,245",32.6,"1,579",41.3,619,16.2
