ward,wardcode,own,ownp,shareo,shareop,socrent,socrentp,prirent,prirentp,rentfree,rentfreep
Tottington,E05014167,"3,503",82.7,10,0.2,191,4.5,529,12.5,2,0.0
Unsworth,E05014168,"3,553",74.7,24,0.5,535,11.3,635,13.4,7,0.1
Cherryfield,E05010935,"2,626",56.8,13,0.3,"1,195",25.9,780,16.9,6,0.1
Halewood North,E05010936,"3,109",70.5,61,1.4,718,16.3,519,11.8,0,0.0
Halewood South,E05010937,"2,775",62.0,62,1.4,"1,172",26.2,463,10.3,3,0.1
Northwood (Knowsley),E05010938,"1,988",39.4,21,0.4,"2,051",40.7,969,19.2,14,0.3
Page Moss,E05010939,"2,422",48.4,50,1.0,"1,855",37.1,662,13.2,11,0.2
Prescot North,E05010940,"2,913",59.5,26,0.5,894,18.3,"1,049",21.4,11,0.2
Prescot South,E05010941,"2,692",63.5,25,0.6,878,20.7,639,15.1,4,0.1
Roby,E05010942,"3,379",86.2,29,0.7,213,5.4,295,7.5,2,0.1
Shevington,E05010943,"2,769",60.9,27,0.6,920,20.2,816,18.0,13,0.3
St Gabriels,E05010944,"2,494",60.2,27,0.7,"1,002",24.2,616,14.9,6,0.1
St Michaels (Knowsley),E05010945,"2,061",51.5,39,1.0,"1,420",35.5,473,11.8,9,0.2
Stockbridge,E05010946,"1,844",39.3,60,1.3,"2,188",46.6,602,12.8,4,0.1
Swanside,E05010947,"3,211",83.1,9,0.2,205,5.3,438,11.3,3,0.1
Whiston and Cronton,E05010948,"2,585",65.9,18,0.5,810,20.6,507,12.9,5,0.1
Whitefield,E05010949,"2,417",56.2,75,1.7,"1,164",27.1,638,14.8,6,0.1
Allerton and Hunts Cross,E05000886,"4,953",77.0,23,0.4,713,11.1,747,11.6,0,0.0
Anfield,E05000887,"2,582",39.8,19,0.3,"1,589",24.5,"2,279",35.1,15,0.2
Belle Vale (Liverpool),E05000888,"3,319",48.3,197,2.9,"2,706",39.4,643,9.4,8,0.1
Central (Liverpool),E05000889,"1,253",17.4,35,0.5,"1,095",15.2,"4,817",66.9,3,0.0
Childwall,E05000890,"4,329",83.7,11,0.2,354,6.8,473,9.1,3,0.1
Church (Liverpool),E05000891,"4,603",81.2,34,0.6,169,3.0,857,15.1,3,0.1
Clubmoor,E05000892,"3,125",47.0,28,0.4,"2,661",40.0,827,12.4,7,0.1
County,E05000893,"2,495",39.3,16,0.3,"1,598",25.2,"2,230",35.1,12,0.2
Cressington,E05000894,"4,470",69.6,60,0.9,944,14.7,942,14.7,4,0.1
Croxteth,E05000895,"3,512",58.6,50,0.8,"1,555",26.0,865,14.4,8,0.1
Everton (Liverpool),E05000896,"1,964",25.1,68,0.9,"4,255",54.4,"1,521",19.4,13,0.2
Fazakerley,E05000897,"4,181",61.0,41,0.6,"1,092",15.9,"1,533",22.4,4,0.1
Greenbank,E05000898,"2,085",36.8,23,0.4,"1,102",19.5,"2,447",43.2,2,0.0
Kensington and Fairfield,E05000899,"1,831",25.7,38,0.5,"2,088",29.4,"3,139",44.1,18,0.3
Kirkdale,E05000900,"2,373",27.6,59,0.7,"3,630",42.2,"2,527",29.4,14,0.2
Knotty Ash,E05000901,"3,575",58.1,33,0.5,"1,630",26.5,908,14.8,4,0.1
Mossley Hill,E05000902,"3,973",75.0,14,0.3,509,9.6,802,15.1,0,0.0
Norris Green,E05000903,"3,084",39.1,16,0.2,"3,616",45.9,"1,153",14.6,10,0.1
Old Swan,E05000904,"3,591",50.6,23,0.3,"1,382",19.5,"2,088",29.4,11,0.2
Picton,E05000905,"1,934",26.0,41,0.6,"2,437",32.8,"2,995",40.3,27,0.4
Princes Park (Liverpool),E05000906,"1,199",14.5,97,1.2,"4,602",55.8,"2,329",28.3,16,0.2
Riverside (Liverpool),E05000907,"2,531",22.2,120,1.1,"3,256",28.5,"5,492",48.1,24,0.2
Speke-Garston,E05000909,"3,625",38.8,55,0.6,"4,003",42.8,"1,658",17.7,6,0.1
St Michael's (Liverpool),E05000908,"2,909",46.3,67,1.1,"1,179",18.8,"2,126",33.8,0,0.0
Tuebrook and Stoneycroft,E05000910,"3,092",43.9,26,0.4,"1,250",17.8,"2,651",37.7,17,0.2
Warbreck (Liverpool),E05000911,"3,869",59.2,77,1.2,952,14.6,"1,629",24.9,4,0.1
Wavertree,E05000912,"3,801",60.3,41,0.7,937,14.9,"1,522",24.1,2,0.0
West Derby,E05000913,"4,467",74.9,22,0.4,675,11.3,799,13.4,0,0.0
Woolton,E05000914,"4,554",74.0,29,0.5,766,12.5,799,13.0,2,0.0
Yew Tree,E05000915,"3,760",53.2,17,0.2,"2,017",28.5,"1,269",17.9,7,0.1
Ancoats & Beswick,E05011350,"1,899",25.4,65,0.9,"1,675",22.4,"3,825",51.2,5,0.1
Ardwick,E05011351,"1,378",20.5,20,0.3,"3,101",46.0,"2,219",32.9,19,0.3
Baguley,E05011352,"2,683",39.8,115,1.7,"2,997",44.4,939,13.9,10,0.1
Brooklands (Manchester),E05011353,"3,425",50.4,41,0.6,"2,278",33.5,"1,039",15.3,12,0.2
Burnage,E05011354,"3,301",50.6,78,1.2,"2,147",32.9,986,15.1,10,0.2
Charlestown,E05011355,"2,934",41.7,49,0.7,"2,907",41.4,"1,103",15.7,37,0.5
Cheetham,E05011356,"2,050",29.5,38,0.5,"1,882",27.1,"2,960",42.6,23,0.3
Chorlton,E05011357,"3,525",62.1,22,0.4,462,8.1,"1,666",29.3,3,0.1
Chorlton Park,E05011358,"3,803",53.5,48,0.7,"1,717",24.2,"1,527",21.5,8,0.1
Clayton & Openshaw,E05011359,"2,249",29.2,92,1.2,"3,163",41.0,"2,188",28.4,17,0.2
Crumpsall,E05011360,"2,627",43.6,71,1.2,"1,017",16.9,"2,301",38.2,6,0.1
Deansgate,E05011361,"1,436",22.9,30,0.5,252,4.0,"4,558",72.6,2,0.0
Didsbury East,E05011362,"4,207",67.6,46,0.7,406,6.5,"1,566",25.1,2,0.0
