ward,wardcode,rat2,rat2p,rat1,rat1p,rat0,rat0p,rat-1,rat-1p,rat-2,rat-2p
Ashton upon Mersey,E05000820,"1,701",39.3,"1,586",36.6,976,22.6,62,1.4,3,0.1
Bowdon,E05000821,"2,068",55.3,"1,084",29.0,527,14.1,52,1.4,7,0.2
Broadheath (Trafford),E05000822,"2,075",37.2,"2,148",38.5,"1,229",22.1,108,1.9,12,0.2
Brooklands (Trafford),E05000823,"2,016",48.0,"1,381",32.9,746,17.7,56,1.3,4,0.1
Bucklow-St Martins,E05000824,"1,254",30.0,"1,498",35.8,"1,243",29.7,164,3.9,24,0.6
Clifford,E05000825,"1,148",22.0,"1,465",28.1,"2,102",40.4,391,7.5,101,1.9
Davyhulme East,E05000826,"1,816",45.6,"1,344",33.7,762,19.1,56,1.4,6,0.2
Davyhulme West,E05000827,"1,936",47.1,"1,424",34.7,684,16.7,58,1.4,6,0.1
Flixton,E05000828,"2,009",43.6,"1,632",35.4,899,19.5,57,1.2,7,0.2
Gorse Hill (Trafford),E05000829,"1,389",27.4,"1,966",38.8,"1,463",28.9,223,4.4,24,0.5
Hale Barns,E05000830,"2,257",59.1,"1,020",26.7,485,12.7,44,1.2,11,0.3
Hale Central,E05000831,"2,178",52.1,"1,430",34.2,533,12.8,34,0.8,4,0.1
Longford (Trafford),E05000832,"1,534",29.8,"1,555",30.2,"1,747",33.9,263,5.1,50,1.0
Priory (Trafford),E05000833,"1,519",30.2,"1,892",37.6,"1,494",29.7,108,2.1,13,0.3
Sale Moor,E05000835,"1,677",38.1,"1,533",34.9,"1,065",24.2,101,2.3,21,0.5
St Mary's (Trafford),E05000834,"1,859",38.6,"1,565",32.5,"1,226",25.5,147,3.1,17,0.4
Stretford,E05000836,"1,522",32.6,"1,525",32.7,"1,435",30.7,160,3.4,27,0.6
Timperley,E05000837,"2,409",55.0,"1,462",33.4,484,11.0,26,0.6,2,0.0
Urmston,E05000838,"1,849",37.7,"1,729",35.2,"1,242",25.3,78,1.6,12,0.2
Village (Trafford),E05000839,"1,700",39.3,"1,447",33.5,"1,057",24.5,96,2.2,22,0.5
Bebington,E05000954,"3,002",45.9,"2,231",34.1,"1,230",18.8,68,1.0,5,0.1
Bidston and St James,E05000955,"1,848",26.2,"2,859",40.5,"2,141",30.3,199,2.8,18,0.3
Birkenhead and Tranmere,E05000956,"1,685",20.9,"2,995",37.2,"3,129",38.8,224,2.8,26,0.3
Bromborough,E05000957,"2,702",36.5,"2,887",39.0,"1,658",22.4,132,1.8,22,0.3
Clatterbridge,E05000958,"3,531",60.1,"1,726",29.4,571,9.7,42,0.7,5,0.1
Claughton,E05000959,"2,692",41.6,"2,194",33.9,"1,479",22.8,99,1.5,9,0.1
Eastham,E05000960,"2,933",48.8,"2,067",34.4,940,15.6,68,1.1,5,0.1
"Greasby, Frankby and Irby",E05000961,"3,260",52.7,"2,212",35.8,674,10.9,34,0.5,7,0.1
Heswall,E05000962,"3,555",61.0,"1,662",28.5,576,9.9,31,0.5,3,0.1
Hoylake and Meols,E05000963,"2,817",49.2,"1,990",34.8,861,15.0,55,1.0,3,0.1
Leasowe and Moreton East,E05000964,"2,412",36.9,"2,398",36.6,"1,591",24.3,126,1.9,16,0.2
Liscard,E05000965,"2,755",39.4,"2,535",36.3,"1,572",22.5,108,1.5,18,0.3
Moreton West and Saughall Massie,E05000966,"2,598",41.6,"2,422",38.8,"1,140",18.3,72,1.2,6,0.1
New Brighton,E05000967,"2,707",39.1,"2,371",34.3,"1,745",25.2,82,1.2,10,0.1
Oxton,E05000968,"2,884",43.3,"2,391",35.9,"1,330",20.0,57,0.9,4,0.1
Pensby and Thingwall,E05000969,"2,627",45.0,"2,261",38.7,897,15.4,49,0.8,7,0.1
Prenton,E05000970,"3,062",49.0,"2,020",32.3,"1,069",17.1,87,1.4,10,0.2
Rock Ferry,E05000971,"1,932",28.0,"2,612",37.9,"2,162",31.3,175,2.5,17,0.2
Seacombe,E05000972,"2,031",30.3,"2,487",37.1,"1,984",29.6,172,2.6,26,0.4
Upton (Wirral),E05000973,"2,572",35.5,"2,713",37.4,"1,809",24.9,144,2.0,13,0.2
Wallasey,E05000974,"3,403",54.1,"1,869",29.7,969,15.4,44,0.7,8,0.1
West Kirby and Thurstaston,E05000975,"3,045",55.3,"1,679",30.5,736,13.4,42,0.8,3,0.1
