ward,wardcode,tr2,tr2p,tr25,tr25p,tr510,tr510p,tr1020,tr1020p,tr2030,tr2030p,tr3040,tr3040p,tr4060,tr4060p,tr60,tr60p
Bury East,E05014153,"1,125",21.7,682,13.2,563,10.9,704,13.6,134,2.6,26,0.5,42,0.8,57,1.1
Bury West,E05014154,485,10.0,779,16.0,554,11.4,653,13.4,135,2.8,22,0.5,36,0.7,33,0.7
Elton,E05014155,721,13.2,855,15.6,636,11.6,780,14.2,156,2.8,30,0.5,29,0.5,50,0.9
Holyrood,E05014156,440,8.0,486,8.8,"1,135",20.6,475,8.6,108,2.0,53,1.0,49,0.9,44,0.8
Moorside (Bury),E05014157,830,17.1,753,15.5,552,11.4,645,13.3,138,2.8,37,0.8,21,0.4,29,0.6
North Manor,E05014158,199,4.5,609,13.9,584,13.3,592,13.5,195,4.4,40,0.9,25,0.6,40,0.9
Pilkington Park,E05014159,322,6.7,443,9.2,888,18.5,433,9.0,90,1.9,39,0.8,38,0.8,27,0.6
Radcliffe East,E05014160,565,10.6,974,18.3,858,16.1,644,12.1,125,2.4,42,0.8,28,0.5,47,0.9
Radcliffe North & Ainsworth,E05014161,365,6.6,"1,045",18.8,832,15.0,728,13.1,161,2.9,32,0.6,40,0.7,48,0.9
Radcliffe West,E05014162,501,9.5,802,15.1,"1,074",20.3,569,10.7,119,2.2,21,0.4,25,0.5,51,1.0
Ramsbottom,E05014163,476,8.1,271,4.6,967,16.4,960,16.3,284,4.8,74,1.3,27,0.5,43,0.7
Redvales,E05014164,857,17.7,698,14.4,522,10.8,630,13.0,124,2.6,23,0.5,35,0.7,32,0.7
Sedgley (Bury),E05014165,"1,110",19.6,669,11.8,872,15.4,367,6.5,58,1.0,24,0.4,42,0.7,49,0.9
St. Mary's (Bury),E05014166,463,8.4,575,10.5,"1,008",18.3,483,8.8,83,1.5,54,1.0,38,0.7,47,0.9
Tottington,E05014167,384,7.6,829,16.4,659,13.1,673,13.3,139,2.8,39,0.8,31,0.6,49,1.0
Unsworth,E05014168,429,8.3,779,15.0,768,14.8,627,12.1,114,2.2,30,0.6,41,0.8,43,0.8
Cherryfield,E05010935,722,15.0,695,14.4,830,17.2,651,13.5,101,2.1,35,0.7,23,0.5,40,0.8
Halewood North,E05010936,387,7.4,854,16.4,804,15.4,849,16.3,95,1.8,41,0.8,49,0.9,64,1.2
Halewood South,E05010937,539,11.7,600,13.1,672,14.6,878,19.1,79,1.7,31,0.7,48,1.0,57,1.2
Northwood (Knowsley),E05010938,826,18.3,626,13.9,687,15.2,645,14.3,96,2.1,28,0.6,25,0.6,29,0.6
Page Moss,E05010939,492,10.2,795,16.4,"1,301",26.9,331,6.8,76,1.6,35,0.7,39,0.8,58,1.2
Prescot North,E05010940,603,11.5,558,10.6,935,17.8,804,15.3,77,1.5,55,1.0,36,0.7,55,1.0
Prescot South,E05010941,977,20.8,376,8.0,755,16.1,804,17.1,76,1.6,58,1.2,23,0.5,33,0.7
Roby,E05010942,282,6.0,553,11.7,"1,173",24.9,412,8.7,90,1.9,44,0.9,65,1.4,53,1.1
Shevington,E05010943,288,5.2,999,18.2,739,13.4,"1,069",19.4,126,2.3,67,1.2,54,1.0,65,1.2
St Gabriels,E05010944,435,10.2,497,11.6,924,21.6,579,13.5,57,1.3,42,1.0,29,0.7,41,1.0
St Michaels (Knowsley),E05010945,475,12.2,514,13.2,977,25.0,409,10.5,57,1.5,33,0.8,36,0.9,48,1.2
Stockbridge,E05010946,325,7.4,858,19.6,"1,122",25.6,391,8.9,70,1.6,30,0.7,32,0.7,48,1.1
Swanside,E05010947,382,8.1,566,12.0,"1,241",26.2,322,6.8,67,1.4,25,0.5,48,1.0,37,0.8
Whiston and Cronton,E05010948,539,13.7,400,10.2,739,18.8,652,16.6,62,1.6,47,1.2,17,0.4,35,0.9
Whitefield,E05010949,351,8.5,888,21.5,523,12.6,672,16.3,78,1.9,32,0.8,32,0.8,45,1.1
Allerton and Hunts Cross,E05000886,685,9.5,"1,007",14.0,"1,360",18.9,810,11.3,102,1.4,54,0.8,75,1.0,50,0.7
Anfield,E05000887,590,10.0,"1,856",31.4,763,12.9,365,6.2,108,1.8,20,0.3,42,0.7,44,0.7
Belle Vale (Liverpool),E05000888,498,8.0,"1,105",17.7,"1,588",25.4,534,8.6,74,1.2,30,0.5,42,0.7,40,0.6
Central (Liverpool),E05000889,"2,084",24.9,800,9.6,950,11.4,551,6.6,239,2.9,78,0.9,242,2.9,325,3.9
Childwall,E05000890,435,7.0,911,14.6,"1,356",21.7,359,5.7,73,1.2,55,0.9,71,1.1,63,1.0
Church (Liverpool),E05000891,426,6.4,998,15.1,"1,118",16.9,385,5.8,116,1.8,33,0.5,92,1.4,53,0.8
Clubmoor,E05000892,540,8.6,"1,872",29.7,"1,033",16.4,465,7.4,82,1.3,18,0.3,66,1.0,48,0.8
