ward,wardcode,ptime,ptimep,par15,par15p,par1630,par1630p,ftime,ftimep,f3148,f3148p,f49,f49p
Bramhall North,E05000779,"1,802",30.3,627,10.6,"1,175",19.8,"4,137",69.7,"3,417",57.5,720,12.1
Bramhall South and Woodford,E05000780,"1,774",30.3,710,12.1,"1,064",18.2,"4,072",69.7,"3,273",56.0,799,13.7
Bredbury Green and Romiley,E05000782,"1,784",29.2,574,9.4,"1,210",19.8,"4,325",70.8,"3,749",61.4,576,9.4
Bredbury and Woodley,E05000781,"1,770",27.1,540,8.3,"1,230",18.8,"4,758",72.9,"4,211",64.5,547,8.4
Brinnington and Central,E05000783,"2,103",28.1,612,8.2,"1,491",20.0,"5,368",71.9,"4,890",65.5,478,6.4
Cheadle Hulme North,E05000785,"1,912",29.9,595,9.3,"1,317",20.6,"4,489",70.1,"3,960",61.9,529,8.3
Cheadle Hulme South,E05000786,"1,983",28.7,705,10.2,"1,278",18.5,"4,920",71.3,"4,231",61.3,689,10.0
Cheadle and Gatley,E05000784,"2,185",29.4,822,11.0,"1,363",18.3,"5,257",70.6,"4,466",60.0,791,10.6
Davenport and Cale Green,E05000787,"2,199",28.9,674,8.8,"1,525",20.0,"5,421",71.1,"4,834",63.4,587,7.7
Edgeley and Cheadle Heath,E05000788,"1,923",26.3,589,8.0,"1,334",18.2,"5,397",73.7,"4,875",66.6,522,7.1
Hazel Grove,E05000789,"1,907",28.6,616,9.2,"1,291",19.3,"4,768",71.4,"4,149",62.2,619,9.3
Heald Green,E05000790,"1,813",31.5,600,10.4,"1,213",21.1,"3,942",68.5,"3,470",60.3,472,8.2
Heatons North,E05000791,"1,826",26.2,616,8.8,"1,210",17.3,"5,152",73.8,"4,311",61.8,841,12.1
Heatons South,E05000792,"2,076",29.3,750,10.6,"1,326",18.7,"5,016",70.7,"4,341",61.2,675,9.5
